Date,BUDAPEST,BUDAPEST.L1,BUDAPEST.L2,BUDAPEST.L3,PEST.L2,PEST.L1,BORSOD.L1
27/01/2014,67,49.0,32.0,37.0,31.0,81.0,81.0
20/01/2014,106,67.0,49.0,32.0,81.0,44.0,40.0
13/01/2014,83,106.0,67.0,49.0,44.0,133.0,91.0
06/01/2014,114,83.0,106.0,67.0,133.0,85.0,75.0
30/12/2013,129,114.0,83.0,106.0,85.0,163.0,50.0
23/12/2013,189,129.0,114.0,83.0,163.0,173.0,89.0
16/12/2013,79,189.0,129.0,114.0,173.0,102.0,92.0
09/12/2013,163,79.0,189.0,129.0,102.0,114.0,50.0
02/12/2013,110,163.0,79.0,189.0,114.0,121.0,103.0
25/11/2013,158,110.0,163.0,79.0,121.0,105.0,68.0
18/11/2013,182,158.0,110.0,163.0,105.0,104.0,119.0
11/11/2013,136,182.0,158.0,110.0,104.0,119.0,108.0
04/11/2013,207,136.0,182.0,158.0,119.0,170.0,119.0
28/10/2013,251,207.0,136.0,182.0,170.0,140.0,112.0
21/10/2013,141,251.0,207.0,136.0,140.0,181.0,89.0
14/10/2013,193,141.0,251.0,207.0,181.0,149.0,61.0
07/10/2013,169,193.0,141.0,251.0,149.0,160.0,82.0
30/09/2013,141,169.0,193.0,141.0,160.0,161.0,68.0
23/09/2013,193,141.0,169.0,193.0,161.0,168.0,68.0
16/09/2013,359,193.0,141.0,169.0,168.0,153.0,62.0
09/09/2013,268,359.0,193.0,141.0,153.0,157.0,23.0
02/09/2013,168,268.0,359.0,193.0,157.0,221.0,97.0
26/08/2013,338,168.0,268.0,359.0,221.0,165.0,44.0
19/08/2013,186,338.0,168.0,268.0,165.0,121.0,44.0
12/08/2013,266,186.0,338.0,168.0,121.0,126.0,49.0
05/08/2013,240,266.0,186.0,338.0,126.0,143.0,22.0
29/07/2013,162,240.0,266.0,186.0,143.0,151.0,59.0
22/07/2013,264,162.0,240.0,266.0,151.0,105.0,15.0
15/07/2013,133,264.0,162.0,240.0,105.0,145.0,15.0
08/07/2013,201,133.0,264.0,162.0,145.0,134.0,65.0
01/07/2013,236,201.0,133.0,264.0,134.0,130.0,8.0
24/06/2013,111,236.0,201.0,133.0,130.0,89.0,50.0
17/06/2013,76,111.0,236.0,201.0,89.0,49.0,28.0
10/06/2013,52,76.0,111.0,236.0,49.0,24.0,17.0
03/06/2013,30,52.0,76.0,111.0,24.0,29.0,8.0
27/05/2013,30,30.0,52.0,76.0,29.0,15.0,4.0
20/05/2013,74,30.0,30.0,52.0,15.0,4.0,6.0
13/05/2013,45,74.0,30.0,30.0,4.0,6.0,5.0
06/05/2013,41,45.0,74.0,30.0,6.0,4.0,3.0
29/04/2013,20,41.0,45.0,74.0,4.0,17.0,2.0
22/04/2013,15,20.0,41.0,45.0,17.0,1.0,1.0
15/04/2013,11,15.0,20.0,41.0,1.0,4.0,4.0
08/04/2013,10,11.0,15.0,20.0,4.0,7.0,3.0
01/04/2013,9,10.0,11.0,15.0,7.0,12.0,12.0
25/03/2013,35,9.0,10.0,11.0,12.0,8.0,11.0
18/03/2013,20,35.0,9.0,10.0,8.0,29.0,16.0
11/03/2013,19,20.0,35.0,9.0,29.0,29.0,24.0
04/03/2013,51,19.0,20.0,35.0,29.0,23.0,16.0
25/02/2013,53,51.0,19.0,20.0,23.0,46.0,6.0
18/02/2013,77,53.0,51.0,19.0,46.0,47.0,39.0
11/02/2013,62,77.0,53.0,51.0,47.0,71.0,33.0
04/02/2013,93,62.0,77.0,53.0,71.0,94.0,39.0
28/01/2013,78,93.0,62.0,77.0,94.0,127.0,10.0
21/01/2013,82,78.0,93.0,62.0,127.0,99.0,37.0
14/01/2013,84,82.0,78.0,93.0,99.0,103.0,22.0
07/01/2013,58,84.0,82.0,78.0,103.0,125.0,31.0
31/12/2012,114,58.0,84.0,82.0,125.0,68.0,15.0
24/12/2012,145,114.0,58.0,84.0,68.0,179.0,25.0
17/12/2012,93,145.0,114.0,58.0,179.0,205.0,61.0
10/12/2012,129,93.0,145.0,114.0,205.0,118.0,160.0
03/12/2012,114,129.0,93.0,145.0,118.0,155.0,44.0
26/11/2012,86,114.0,129.0,93.0,155.0,175.0,71.0
19/11/2012,127,86.0,114.0,129.0,175.0,135.0,125.0
12/11/2012,106,127.0,86.0,114.0,135.0,86.0,52.0
05/11/2012,211,106.0,127.0,86.0,86.0,224.0,144.0
29/10/2012,229,211.0,106.0,127.0,224.0,211.0,96.0
22/10/2012,145,229.0,211.0,106.0,211.0,214.0,107.0
15/10/2012,210,145.0,229.0,211.0,214.0,136.0,110.0
08/10/2012,267,210.0,145.0,229.0,136.0,279.0,72.0
01/10/2012,166,267.0,210.0,145.0,279.0,255.0,96.0
24/09/2012,168,166.0,267.0,210.0,255.0,209.0,138.0
17/09/2012,350,168.0,166.0,267.0,209.0,160.0,114.0
10/09/2012,224,350.0,168.0,166.0,160.0,290.0,284.0
03/09/2012,136,224.0,350.0,168.0,290.0,204.0,157.0
27/08/2012,278,136.0,224.0,350.0,204.0,105.0,88.0
20/08/2012,161,278.0,136.0,224.0,105.0,257.0,23.0
13/08/2012,385,161.0,278.0,136.0,257.0,210.0,93.0
06/08/2012,230,385.0,161.0,278.0,210.0,198.0,174.0
30/07/2012,284,230.0,385.0,161.0,198.0,149.0,82.0
23/07/2012,210,284.0,230.0,385.0,149.0,220.0,161.0
16/07/2012,125,210.0,284.0,230.0,220.0,125.0,129.0
09/07/2012,104,125.0,210.0,284.0,125.0,131.0,34.0
02/07/2012,140,104.0,125.0,210.0,131.0,101.0,68.0
25/06/2012,99,140.0,104.0,125.0,101.0,65.0,80.0
18/06/2012,35,99.0,140.0,104.0,65.0,30.0,33.0
11/06/2012,14,35.0,99.0,140.0,30.0,29.0,33.0
04/06/2012,34,14.0,35.0,99.0,29.0,19.0,30.0
28/05/2012,7,34.0,14.0,35.0,19.0,9.0,14.0
21/05/2012,7,7.0,34.0,14.0,9.0,7.0,7.0
14/05/2012,4,7.0,7.0,34.0,7.0,5.0,21.0
07/05/2012,4,4.0,7.0,7.0,5.0,3.0,4.0
30/04/2012,10,4.0,4.0,7.0,3.0,19.0,8.0
23/04/2012,6,10.0,4.0,4.0,19.0,1.0,14.0
16/04/2012,6,6.0,10.0,4.0,1.0,2.0,3.0
09/04/2012,12,6.0,6.0,10.0,2.0,6.0,5.0
02/04/2012,20,12.0,6.0,6.0,6.0,10.0,8.0
26/03/2012,14,20.0,12.0,6.0,10.0,31.0,11.0
19/03/2012,33,14.0,20.0,12.0,31.0,34.0,38.0
12/03/2012,20,33.0,14.0,20.0,34.0,32.0,50.0
05/03/2012,25,20.0,33.0,14.0,32.0,33.0,20.0
27/02/2012,93,25.0,20.0,33.0,33.0,28.0,25.0
20/02/2012,72,93.0,25.0,20.0,28.0,91.0,63.0
13/02/2012,54,72.0,93.0,25.0,91.0,95.0,49.0
06/02/2012,175,54.0,72.0,93.0,95.0,83.0,70.0
30/01/2012,126,175.0,54.0,72.0,83.0,99.0,74.0
23/01/2012,60,126.0,175.0,54.0,99.0,78.0,54.0
16/01/2012,193,60.0,126.0,175.0,78.0,108.0,51.0
09/01/2012,68,193.0,60.0,126.0,108.0,82.0,82.0
02/01/2012,183,68.0,193.0,60.0,82.0,46.0,34.0
26/12/2011,156,183.0,68.0,193.0,46.0,167.0,126.0
19/12/2011,479,156.0,183.0,68.0,167.0,197.0,143.0
12/12/2011,143,479.0,156.0,183.0,197.0,431.0,202.0
05/12/2011,193,143.0,479.0,156.0,431.0,87.0,209.0
28/11/2011,105,193.0,143.0,479.0,87.0,143.0,61.0
21/11/2011,136,105.0,193.0,143.0,143.0,114.0,104.0
14/11/2011,91,136.0,105.0,193.0,114.0,90.0,62.0
07/11/2011,150,91.0,136.0,105.0,90.0,109.0,66.0
31/10/2011,82,150.0,91.0,136.0,109.0,146.0,76.0
24/10/2011,64,82.0,150.0,91.0,146.0,95.0,85.0
17/10/2011,100,64.0,82.0,150.0,95.0,98.0,78.0
10/10/2011,95,100.0,64.0,82.0,98.0,108.0,55.0
03/10/2011,136,95.0,100.0,64.0,108.0,123.0,127.0
26/09/2011,80,136.0,95.0,100.0,123.0,114.0,64.0
19/09/2011,122,80.0,136.0,95.0,114.0,76.0,42.0
12/09/2011,117,122.0,80.0,136.0,76.0,156.0,119.0
05/09/2011,84,117.0,122.0,80.0,156.0,115.0,101.0
29/08/2011,133,84.0,117.0,122.0,115.0,45.0,36.0
22/08/2011,62,133.0,84.0,117.0,45.0,70.0,108.0
15/08/2011,211,62.0,133.0,84.0,70.0,50.0,64.0
08/08/2011,143,211.0,62.0,133.0,50.0,85.0,91.0
01/08/2011,128,143.0,211.0,62.0,85.0,71.0,55.0
25/07/2011,105,128.0,143.0,211.0,71.0,129.0,127.0
18/07/2011,140,105.0,128.0,143.0,129.0,70.0,70.0
11/07/2011,51,140.0,105.0,128.0,70.0,50.0,56.0
04/07/2011,70,51.0,140.0,105.0,50.0,93.0,69.0
27/06/2011,46,70.0,51.0,140.0,93.0,47.0,21.0
20/06/2011,17,46.0,70.0,51.0,47.0,50.0,13.0
13/06/2011,21,17.0,46.0,70.0,50.0,18.0,36.0
06/06/2011,51,21.0,17.0,46.0,18.0,3.0,18.0
30/05/2011,22,51.0,21.0,17.0,3.0,15.0,8.0
23/05/2011,11,22.0,51.0,21.0,15.0,11.0,11.0
16/05/2011,3,11.0,22.0,51.0,11.0,4.0,13.0
09/05/2011,10,3.0,11.0,22.0,4.0,4.0,4.0
02/05/2011,4,10.0,3.0,11.0,4.0,3.0,6.0
25/04/2011,3,4.0,10.0,3.0,3.0,3.0,2.0
18/04/2011,9,3.0,4.0,10.0,3.0,4.0,4.0
11/04/2011,14,9.0,3.0,4.0,4.0,15.0,6.0
04/04/2011,12,14.0,9.0,3.0,15.0,6.0,7.0
28/03/2011,22,12.0,14.0,9.0,6.0,12.0,21.0
21/03/2011,43,22.0,12.0,14.0,12.0,15.0,33.0
14/03/2011,27,43.0,22.0,12.0,15.0,27.0,53.0
07/03/2011,67,27.0,43.0,22.0,27.0,34.0,3.0
28/02/2011,78,67.0,27.0,43.0,34.0,23.0,41.0
21/02/2011,61,78.0,67.0,27.0,23.0,30.0,45.0
14/02/2011,62,61.0,78.0,67.0,30.0,45.0,52.0
07/02/2011,40,62.0,61.0,78.0,45.0,15.0,39.0
31/01/2011,98,40.0,62.0,61.0,15.0,48.0,56.0
24/01/2011,110,98.0,40.0,62.0,48.0,41.0,34.0
17/01/2011,142,110.0,98.0,40.0,41.0,35.0,108.0
10/01/2011,53,142.0,110.0,98.0,35.0,70.0,65.0
03/01/2011,39,53.0,142.0,110.0,70.0,13.0,14.0
27/12/2010,304,39.0,53.0,142.0,13.0,65.0,32.0
20/12/2010,300,304.0,39.0,53.0,65.0,125.0,69.0
13/12/2010,115,300.0,304.0,39.0,125.0,143.0,355.0
06/12/2010,176,115.0,300.0,304.0,143.0,75.0,112.0
29/11/2010,176,176.0,115.0,300.0,75.0,107.0,100.0
22/11/2010,157,176.0,176.0,115.0,107.0,102.0,71.0
15/11/2010,188,157.0,176.0,176.0,102.0,103.0,64.0
08/11/2010,128,188.0,157.0,176.0,103.0,142.0,74.0
01/11/2010,165,128.0,188.0,157.0,142.0,125.0,71.0
25/10/2010,129,165.0,128.0,188.0,125.0,124.0,97.0
18/10/2010,197,129.0,165.0,128.0,124.0,161.0,125.0
11/10/2010,129,197.0,129.0,165.0,161.0,173.0,67.0
04/10/2010,217,129.0,197.0,129.0,173.0,155.0,65.0
27/09/2010,109,217.0,129.0,197.0,155.0,168.0,55.0
20/09/2010,212,109.0,217.0,129.0,168.0,35.0,74.0
13/09/2010,265,212.0,109.0,217.0,35.0,120.0,219.0
06/09/2010,149,265.0,212.0,109.0,120.0,193.0,156.0
30/08/2010,143,149.0,265.0,212.0,193.0,159.0,73.0
23/08/2010,165,143.0,149.0,265.0,159.0,176.0,96.0
16/08/2010,198,165.0,143.0,149.0,176.0,117.0,114.0
09/08/2010,197,198.0,165.0,143.0,117.0,100.0,69.0
02/08/2010,211,197.0,198.0,165.0,100.0,138.0,123.0
26/07/2010,177,211.0,197.0,198.0,138.0,115.0,99.0
19/07/2010,168,177.0,211.0,197.0,115.0,105.0,76.0
12/07/2010,110,168.0,177.0,211.0,105.0,135.0,69.0
05/07/2010,65,110.0,168.0,177.0,135.0,182.0,36.0
28/06/2010,104,65.0,110.0,168.0,182.0,72.0,20.0
21/06/2010,85,104.0,65.0,110.0,72.0,72.0,87.0
14/06/2010,54,85.0,104.0,65.0,72.0,55.0,35.0
07/06/2010,18,54.0,85.0,104.0,55.0,41.0,6.0
31/05/2010,16,18.0,54.0,85.0,41.0,29.0,21.0
24/05/2010,14,16.0,18.0,54.0,29.0,32.0,6.0
17/05/2010,7,14.0,16.0,18.0,32.0,11.0,13.0
10/05/2010,27,7.0,14.0,16.0,11.0,1.0,4.0
03/05/2010,16,27.0,7.0,14.0,1.0,19.0,2.0
26/04/2010,11,16.0,27.0,7.0,19.0,6.0,2.0
19/04/2010,2,11.0,16.0,27.0,6.0,4.0,6.0
12/04/2010,4,2.0,11.0,16.0,4.0,13.0,6.0
05/04/2010,7,4.0,2.0,11.0,13.0,8.0,6.0
29/03/2010,15,7.0,4.0,2.0,8.0,5.0,1.0
22/03/2010,30,15.0,7.0,4.0,5.0,12.0,10.0
15/03/2010,31,30.0,15.0,7.0,12.0,20.0,3.0
08/03/2010,25,31.0,30.0,15.0,20.0,36.0,11.0
01/03/2010,50,25.0,31.0,30.0,36.0,30.0,9.0
22/02/2010,37,50.0,25.0,31.0,30.0,27.0,31.0
15/02/2010,59,37.0,50.0,25.0,27.0,30.0,22.0
08/02/2010,58,59.0,37.0,50.0,30.0,30.0,16.0
01/02/2010,42,58.0,59.0,37.0,30.0,46.0,37.0
25/01/2010,91,42.0,58.0,59.0,46.0,126.0,34.0
18/01/2010,86,91.0,42.0,58.0,126.0,96.0,69.0
11/01/2010,41,86.0,91.0,42.0,96.0,102.0,17.0
04/01/2010,47,41.0,86.0,91.0,102.0,55.0,28.0
28/12/2009,166,47.0,41.0,86.0,55.0,48.0,55.0
21/12/2009,113,166.0,47.0,41.0,48.0,88.0,43.0
14/12/2009,62,113.0,166.0,47.0,88.0,62.0,28.0
07/12/2009,82,62.0,113.0,166.0,62.0,81.0,33.0
30/11/2009,56,82.0,62.0,113.0,81.0,96.0,42.0
23/11/2009,46,56.0,82.0,62.0,96.0,99.0,59.0
16/11/2009,48,46.0,56.0,82.0,99.0,129.0,42.0
09/11/2009,124,48.0,46.0,56.0,129.0,104.0,93.0
02/11/2009,74,124.0,48.0,46.0,104.0,113.0,63.0
26/10/2009,116,74.0,124.0,48.0,113.0,128.0,35.0
19/10/2009,120,116.0,74.0,124.0,128.0,124.0,54.0
12/10/2009,101,120.0,116.0,74.0,124.0,137.0,37.0
05/10/2009,121,101.0,120.0,116.0,137.0,190.0,145.0
28/09/2009,160,121.0,101.0,120.0,190.0,148.0,85.0
21/09/2009,199,160.0,121.0,101.0,148.0,143.0,52.0
14/09/2009,147,199.0,160.0,121.0,143.0,272.0,105.0
07/09/2009,130,147.0,199.0,160.0,272.0,214.0,79.0
31/08/2009,175,130.0,147.0,199.0,214.0,191.0,40.0
24/08/2009,156,175.0,130.0,147.0,191.0,243.0,82.0
17/08/2009,185,156.0,175.0,130.0,243.0,151.0,78.0
10/08/2009,123,185.0,156.0,175.0,151.0,216.0,65.0
03/08/2009,151,123.0,185.0,156.0,216.0,145.0,54.0
27/07/2009,150,151.0,123.0,185.0,145.0,221.0,68.0
20/07/2009,169,150.0,151.0,123.0,221.0,205.0,48.0
13/07/2009,154,169.0,150.0,151.0,205.0,168.0,44.0
06/07/2009,68,154.0,169.0,150.0,168.0,253.0,70.0
29/06/2009,93,68.0,154.0,169.0,253.0,97.0,24.0
22/06/2009,74,93.0,68.0,154.0,97.0,70.0,51.0
15/06/2009,56,74.0,93.0,68.0,70.0,56.0,26.0
08/06/2009,35,56.0,74.0,93.0,56.0,37.0,8.0
01/06/2009,24,35.0,56.0,74.0,37.0,26.0,12.0
25/05/2009,11,24.0,35.0,56.0,26.0,7.0,6.0
18/05/2009,35,11.0,24.0,35.0,7.0,8.0,7.0
11/05/2009,11,35.0,11.0,24.0,8.0,4.0,5.0
04/05/2009,22,11.0,35.0,11.0,4.0,1.0,13.0
27/04/2009,8,22.0,11.0,35.0,1.0,8.0,6.0
20/04/2009,5,8.0,22.0,11.0,8.0,6.0,1.0
13/04/2009,23,5.0,8.0,22.0,6.0,3.0,4.0
06/04/2009,27,23.0,5.0,8.0,3.0,12.0,2.0
30/03/2009,33,27.0,23.0,5.0,12.0,18.0,1.0
23/03/2009,74,33.0,27.0,23.0,18.0,46.0,4.0
16/03/2009,57,74.0,33.0,27.0,46.0,36.0,8.0
09/03/2009,95,57.0,74.0,33.0,36.0,36.0,9.0
02/03/2009,73,95.0,57.0,74.0,36.0,56.0,22.0
23/02/2009,171,73.0,95.0,57.0,56.0,58.0,7.0
16/02/2009,206,171.0,73.0,95.0,58.0,108.0,32.0
09/02/2009,144,206.0,171.0,73.0,108.0,75.0,25.0
02/02/2009,155,144.0,206.0,171.0,75.0,118.0,35.0
26/01/2009,191,155.0,144.0,206.0,118.0,85.0,15.0
19/01/2009,125,191.0,155.0,144.0,85.0,115.0,25.0
12/01/2009,157,125.0,191.0,155.0,115.0,114.0,20.0
05/01/2009,121,157.0,125.0,191.0,114.0,74.0,53.0
29/12/2008,59,121.0,157.0,125.0,74.0,93.0,36.0
22/12/2008,333,59.0,121.0,157.0,93.0,155.0,25.0
15/12/2008,145,333.0,59.0,121.0,155.0,240.0,93.0
08/12/2008,208,145.0,333.0,59.0,240.0,86.0,66.0
01/12/2008,174,208.0,145.0,333.0,86.0,93.0,65.0
24/11/2008,128,174.0,208.0,145.0,93.0,108.0,61.0
17/11/2008,190,128.0,174.0,208.0,108.0,145.0,79.0
10/11/2008,228,190.0,128.0,174.0,145.0,77.0,63.0
03/11/2008,149,228.0,190.0,128.0,77.0,189.0,164.0
27/10/2008,181,149.0,228.0,190.0,189.0,142.0,93.0
20/10/2008,131,181.0,149.0,228.0,142.0,140.0,173.0
13/10/2008,227,131.0,181.0,149.0,140.0,120.0,95.0
06/10/2008,158,227.0,131.0,181.0,120.0,312.0,192.0
29/09/2008,168,158.0,227.0,131.0,312.0,199.0,144.0
22/09/2008,181,168.0,158.0,227.0,199.0,143.0,171.0
15/09/2008,138,181.0,168.0,158.0,143.0,145.0,109.0
08/09/2008,129,138.0,181.0,168.0,145.0,106.0,72.0
01/09/2008,161,129.0,138.0,181.0,106.0,195.0,75.0
25/08/2008,121,161.0,129.0,138.0,195.0,149.0,158.0
18/08/2008,128,121.0,161.0,129.0,149.0,172.0,101.0
11/08/2008,150,128.0,121.0,161.0,172.0,152.0,109.0
04/08/2008,146,150.0,128.0,121.0,152.0,152.0,132.0
28/07/2008,115,146.0,150.0,128.0,152.0,141.0,127.0
21/07/2008,120,115.0,146.0,150.0,141.0,93.0,118.0
14/07/2008,140,120.0,115.0,146.0,93.0,68.0,64.0
07/07/2008,73,140.0,120.0,115.0,68.0,95.0,89.0
30/06/2008,91,73.0,140.0,120.0,95.0,61.0,36.0
23/06/2008,71,91.0,73.0,140.0,61.0,103.0,31.0
16/06/2008,61,71.0,91.0,73.0,103.0,65.0,35.0
09/06/2008,19,61.0,71.0,91.0,65.0,16.0,27.0
02/06/2008,16,19.0,61.0,71.0,16.0,21.0,26.0
26/05/2008,11,16.0,19.0,61.0,21.0,6.0,8.0
19/05/2008,17,11.0,16.0,19.0,6.0,11.0,5.0
12/05/2008,14,17.0,11.0,16.0,11.0,6.0,4.0
05/05/2008,13,14.0,17.0,11.0,6.0,7.0,5.0
28/04/2008,22,13.0,14.0,17.0,7.0,3.0,10.0
21/04/2008,42,22.0,13.0,14.0,3.0,4.0,8.0
14/04/2008,4,42.0,22.0,13.0,4.0,6.0,2.0
07/04/2008,18,4.0,42.0,22.0,6.0,6.0,8.0
31/03/2008,6,18.0,4.0,42.0,6.0,10.0,8.0
24/03/2008,10,6.0,18.0,4.0,10.0,11.0,11.0
17/03/2008,60,10.0,6.0,18.0,11.0,15.0,15.0
10/03/2008,103,60.0,10.0,6.0,15.0,29.0,12.0
03/03/2008,31,103.0,60.0,10.0,29.0,17.0,10.0
25/02/2008,103,31.0,103.0,60.0,17.0,12.0,25.0
18/02/2008,44,103.0,31.0,103.0,12.0,17.0,10.0
11/02/2008,91,44.0,103.0,31.0,17.0,33.0,7.0
04/02/2008,83,91.0,44.0,103.0,33.0,71.0,41.0
28/01/2008,111,83.0,91.0,44.0,71.0,64.0,52.0
21/01/2008,91,111.0,83.0,91.0,64.0,66.0,44.0
14/01/2008,163,91.0,111.0,83.0,66.0,100.0,31.0
07/01/2008,28,163.0,91.0,111.0,100.0,92.0,86.0
31/12/2007,106,28.0,163.0,91.0,92.0,53.0,81.0
24/12/2007,291,106.0,28.0,163.0,53.0,179.0,77.0
17/12/2007,185,291.0,106.0,28.0,179.0,118.0,248.0
10/12/2007,197,185.0,291.0,106.0,118.0,184.0,36.0
03/12/2007,147,197.0,185.0,291.0,184.0,114.0,218.0
26/11/2007,192,147.0,197.0,185.0,114.0,96.0,58.0
19/11/2007,190,192.0,147.0,197.0,96.0,144.0,55.0
12/11/2007,147,190.0,192.0,147.0,144.0,100.0,113.0
05/11/2007,131,147.0,190.0,192.0,100.0,170.0,122.0
29/10/2007,149,131.0,147.0,190.0,170.0,98.0,59.0
22/10/2007,99,149.0,131.0,147.0,98.0,98.0,66.0
15/10/2007,233,99.0,149.0,131.0,98.0,98.0,46.0
08/10/2007,146,233.0,99.0,149.0,98.0,86.0,124.0
01/10/2007,182,146.0,233.0,99.0,86.0,89.0,74.0
24/09/2007,68,182.0,146.0,233.0,89.0,77.0,73.0
17/09/2007,180,68.0,182.0,146.0,77.0,91.0,8.0
10/09/2007,142,180.0,68.0,182.0,91.0,107.0,134.0
03/09/2007,80,142.0,180.0,68.0,107.0,86.0,88.0
27/08/2007,194,80.0,142.0,180.0,86.0,32.0,33.0
20/08/2007,286,194.0,80.0,142.0,32.0,70.0,81.0
13/08/2007,129,286.0,194.0,80.0,70.0,131.0,26.0
06/08/2007,93,129.0,286.0,194.0,131.0,104.0,26.0
30/07/2007,199,93.0,129.0,286.0,104.0,131.0,150.0
23/07/2007,120,199.0,93.0,129.0,131.0,93.0,128.0
16/07/2007,151,120.0,199.0,93.0,93.0,140.0,105.0
09/07/2007,88,151.0,120.0,199.0,140.0,113.0,161.0
02/07/2007,87,88.0,151.0,120.0,113.0,38.0,127.0
25/06/2007,67,87.0,88.0,151.0,38.0,107.0,34.0
18/06/2007,52,67.0,87.0,88.0,107.0,113.0,75.0
11/06/2007,65,52.0,67.0,87.0,113.0,31.0,28.0
04/06/2007,6,65.0,52.0,67.0,31.0,24.0,19.0
28/05/2007,64,6.0,65.0,52.0,24.0,30.0,8.0
21/05/2007,18,64.0,6.0,65.0,30.0,8.0,4.0
14/05/2007,3,18.0,64.0,6.0,8.0,9.0,14.0
07/05/2007,0,3.0,18.0,64.0,9.0,7.0,2.0
30/04/2007,13,0.0,3.0,18.0,7.0,3.0,3.0
23/04/2007,9,13.0,0.0,3.0,3.0,12.0,6.0
16/04/2007,4,9.0,13.0,0.0,12.0,11.0,11.0
09/04/2007,8,4.0,9.0,13.0,11.0,8.0,7.0
02/04/2007,12,8.0,4.0,9.0,8.0,5.0,5.0
26/03/2007,13,12.0,8.0,4.0,5.0,18.0,17.0
19/03/2007,31,13.0,12.0,8.0,18.0,12.0,13.0
12/03/2007,35,31.0,13.0,12.0,12.0,23.0,19.0
05/03/2007,8,35.0,31.0,13.0,23.0,16.0,18.0
26/02/2007,73,8.0,35.0,31.0,16.0,44.0,44.0
19/02/2007,77,73.0,8.0,35.0,44.0,44.0,13.0
12/02/2007,21,77.0,73.0,8.0,44.0,72.0,56.0
05/02/2007,104,21.0,77.0,73.0,72.0,54.0,55.0
29/01/2007,105,104.0,21.0,77.0,54.0,65.0,84.0
22/01/2007,92,105.0,104.0,21.0,65.0,69.0,20.0
15/01/2007,192,92.0,105.0,104.0,69.0,107.0,13.0
08/01/2007,2,192.0,92.0,105.0,107.0,90.0,122.0
01/01/2007,67,2.0,192.0,92.0,90.0,9.0,2.0
25/12/2006,283,67.0,2.0,192.0,9.0,129.0,77.0
18/12/2006,135,283.0,67.0,2.0,129.0,156.0,156.0
11/12/2006,129,135.0,283.0,67.0,156.0,240.0,50.0
04/12/2006,203,129.0,135.0,283.0,240.0,190.0,47.0
27/11/2006,152,203.0,129.0,135.0,190.0,166.0,84.0
20/11/2006,107,152.0,203.0,129.0,166.0,138.0,90.0
13/11/2006,185,107.0,152.0,203.0,138.0,128.0,63.0
06/11/2006,110,185.0,107.0,152.0,128.0,239.0,45.0
30/10/2006,138,110.0,185.0,107.0,239.0,196.0,84.0
23/10/2006,100,138.0,110.0,185.0,196.0,108.0,53.0
16/10/2006,228,100.0,138.0,110.0,108.0,160.0,66.0
09/10/2006,130,228.0,100.0,138.0,160.0,131.0,77.0
02/10/2006,137,130.0,228.0,100.0,131.0,331.0,107.0
25/09/2006,235,137.0,130.0,228.0,331.0,155.0,40.0
18/09/2006,138,235.0,137.0,130.0,155.0,168.0,109.0
11/09/2006,166,138.0,235.0,137.0,168.0,137.0,83.0
04/09/2006,122,166.0,138.0,235.0,137.0,144.0,55.0
28/08/2006,149,122.0,166.0,138.0,144.0,119.0,39.0
