Date,BUDAPEST,GYOR.L1,NOGRAD.L4,TOLNA.L2,TOLNA.L3,TOLNA.L4,TOLNA.L5
23/01/2012,60,35.0,27.0,24.0,14.0,38.0,19.0
16/01/2012,193,42.0,11.0,14.0,24.0,14.0,38.0
09/01/2012,68,86.0,32.0,10.0,14.0,24.0,14.0
02/01/2012,183,43.0,33.0,8.0,10.0,14.0,24.0
26/12/2011,156,32.0,25.0,9.0,8.0,10.0,14.0
19/12/2011,479,68.0,14.0,10.0,9.0,8.0,10.0
12/12/2011,143,137.0,0.0,10.0,10.0,9.0,8.0
05/12/2011,193,33.0,21.0,27.0,10.0,10.0,9.0
28/11/2011,105,43.0,39.0,4.0,27.0,10.0,10.0
21/11/2011,136,47.0,74.0,6.0,4.0,27.0,10.0
14/11/2011,91,41.0,34.0,12.0,6.0,4.0,27.0
07/11/2011,150,49.0,8.0,11.0,12.0,6.0,4.0
31/10/2011,82,35.0,25.0,11.0,11.0,12.0,6.0
24/10/2011,64,69.0,4.0,10.0,11.0,11.0,12.0
17/10/2011,100,53.0,21.0,9.0,10.0,11.0,11.0
10/10/2011,95,150.0,26.0,15.0,9.0,10.0,11.0
03/10/2011,136,87.0,49.0,8.0,15.0,9.0,10.0
26/09/2011,80,160.0,25.0,10.0,8.0,15.0,9.0
19/09/2011,122,102.0,69.0,24.0,10.0,8.0,15.0
12/09/2011,117,73.0,19.0,12.0,24.0,10.0,8.0
05/09/2011,84,106.0,55.0,15.0,12.0,24.0,10.0
29/08/2011,133,40.0,26.0,52.0,15.0,12.0,24.0
22/08/2011,62,97.0,37.0,24.0,52.0,15.0,12.0
15/08/2011,211,49.0,39.0,28.0,24.0,52.0,15.0
08/08/2011,143,98.0,4.0,34.0,28.0,24.0,52.0
01/08/2011,128,68.0,33.0,34.0,34.0,28.0,24.0
25/07/2011,105,74.0,17.0,40.0,34.0,34.0,28.0
18/07/2011,140,85.0,42.0,37.0,40.0,34.0,34.0
11/07/2011,51,40.0,11.0,90.0,37.0,40.0,34.0
04/07/2011,70,43.0,23.0,25.0,90.0,37.0,40.0
27/06/2011,46,28.0,15.0,31.0,25.0,90.0,37.0
20/06/2011,17,16.0,7.0,7.0,31.0,25.0,90.0
13/06/2011,21,23.0,8.0,22.0,7.0,31.0,25.0
06/06/2011,51,12.0,10.0,29.0,22.0,7.0,31.0
30/05/2011,22,17.0,13.0,6.0,29.0,22.0,7.0
23/05/2011,11,12.0,3.0,13.0,6.0,29.0,22.0
16/05/2011,3,8.0,11.0,1.0,13.0,6.0,29.0
09/05/2011,10,4.0,4.0,7.0,1.0,13.0,6.0
02/05/2011,4,5.0,3.0,1.0,7.0,1.0,13.0
25/04/2011,3,1.0,4.0,2.0,1.0,7.0,1.0
18/04/2011,9,0.0,0.0,5.0,2.0,1.0,7.0
11/04/2011,14,6.0,0.0,0.0,5.0,2.0,1.0
04/04/2011,12,0.0,0.0,8.0,0.0,5.0,2.0
28/03/2011,22,2.0,0.0,5.0,8.0,0.0,5.0
21/03/2011,43,9.0,1.0,4.0,5.0,8.0,0.0
14/03/2011,27,13.0,2.0,3.0,4.0,5.0,8.0
07/03/2011,67,17.0,4.0,4.0,3.0,4.0,5.0
28/02/2011,78,19.0,6.0,5.0,4.0,3.0,4.0
21/02/2011,61,33.0,9.0,1.0,5.0,4.0,3.0
14/02/2011,62,22.0,14.0,18.0,1.0,5.0,4.0
07/02/2011,40,35.0,15.0,10.0,18.0,1.0,5.0
31/01/2011,98,41.0,19.0,25.0,10.0,18.0,1.0
24/01/2011,110,55.0,17.0,17.0,25.0,10.0,18.0
17/01/2011,142,54.0,60.0,16.0,17.0,25.0,10.0
10/01/2011,53,78.0,44.0,12.0,16.0,17.0,25.0
03/01/2011,39,29.0,34.0,16.0,12.0,16.0,17.0
27/12/2010,304,67.0,52.0,3.0,16.0,12.0,16.0
20/12/2010,300,136.0,53.0,16.0,3.0,16.0,12.0
13/12/2010,115,68.0,3.0,56.0,16.0,3.0,16.0
06/12/2010,176,51.0,44.0,14.0,56.0,16.0,3.0
29/11/2010,176,56.0,86.0,13.0,14.0,56.0,16.0
22/11/2010,157,44.0,35.0,13.0,13.0,14.0,56.0
15/11/2010,188,73.0,58.0,29.0,13.0,13.0,14.0
08/11/2010,128,45.0,65.0,44.0,29.0,13.0,13.0
01/11/2010,165,79.0,49.0,44.0,44.0,29.0,13.0
25/10/2010,129,50.0,43.0,66.0,44.0,44.0,29.0
18/10/2010,197,68.0,45.0,43.0,66.0,44.0,44.0
11/10/2010,129,68.0,59.0,70.0,43.0,66.0,44.0
04/10/2010,217,85.0,58.0,105.0,70.0,43.0,66.0
27/09/2010,109,35.0,38.0,21.0,105.0,70.0,43.0
20/09/2010,212,124.0,87.0,50.0,21.0,105.0,70.0
13/09/2010,265,34.0,34.0,39.0,50.0,21.0,105.0
06/09/2010,149,129.0,64.0,51.0,39.0,50.0,21.0
30/08/2010,143,42.0,40.0,40.0,51.0,39.0,50.0
23/08/2010,165,90.0,23.0,81.0,40.0,51.0,39.0
16/08/2010,198,69.0,69.0,35.0,81.0,40.0,51.0
09/08/2010,197,48.0,52.0,71.0,35.0,81.0,40.0
02/08/2010,211,51.0,30.0,21.0,71.0,35.0,81.0
26/07/2010,177,53.0,20.0,52.0,21.0,71.0,35.0
19/07/2010,168,42.0,21.0,56.0,52.0,21.0,71.0
12/07/2010,110,57.0,17.0,49.0,56.0,52.0,21.0
05/07/2010,65,48.0,16.0,21.0,49.0,56.0,52.0
28/06/2010,104,52.0,25.0,34.0,21.0,49.0,56.0
21/06/2010,85,17.0,25.0,12.0,34.0,21.0,49.0
14/06/2010,54,11.0,50.0,9.0,12.0,34.0,21.0
07/06/2010,18,12.0,21.0,15.0,9.0,12.0,34.0
31/05/2010,16,7.0,12.0,4.0,15.0,9.0,12.0
24/05/2010,14,5.0,22.0,14.0,4.0,15.0,9.0
17/05/2010,7,0.0,7.0,4.0,14.0,4.0,15.0
10/05/2010,27,6.0,2.0,4.0,4.0,14.0,4.0
03/05/2010,16,1.0,1.0,0.0,4.0,4.0,14.0
26/04/2010,11,3.0,2.0,0.0,0.0,4.0,4.0
19/04/2010,2,0.0,1.0,0.0,0.0,0.0,4.0
12/04/2010,4,4.0,0.0,0.0,0.0,0.0,0.0
05/04/2010,7,5.0,2.0,1.0,0.0,0.0,0.0
29/03/2010,15,6.0,3.0,0.0,1.0,0.0,0.0
22/03/2010,30,9.0,0.0,3.0,0.0,1.0,0.0
15/03/2010,31,6.0,9.0,4.0,3.0,0.0,1.0
08/03/2010,25,6.0,2.0,9.0,4.0,3.0,0.0
01/03/2010,50,14.0,1.0,8.0,9.0,4.0,3.0
22/02/2010,37,8.0,4.0,10.0,8.0,9.0,4.0
15/02/2010,59,10.0,2.0,8.0,10.0,8.0,9.0
08/02/2010,58,16.0,0.0,15.0,8.0,10.0,8.0
01/02/2010,42,28.0,1.0,6.0,15.0,8.0,10.0
25/01/2010,91,40.0,1.0,19.0,6.0,15.0,8.0
18/01/2010,86,33.0,1.0,14.0,19.0,6.0,15.0
11/01/2010,41,28.0,4.0,24.0,14.0,19.0,6.0
04/01/2010,47,6.0,12.0,10.0,24.0,14.0,19.0
28/12/2009,166,18.0,17.0,21.0,10.0,24.0,14.0
21/12/2009,113,31.0,9.0,0.0,21.0,10.0,24.0
14/12/2009,62,21.0,6.0,42.0,0.0,21.0,10.0
07/12/2009,82,21.0,4.0,21.0,42.0,0.0,21.0
30/11/2009,56,38.0,16.0,8.0,21.0,42.0,0.0
23/11/2009,46,43.0,14.0,9.0,8.0,21.0,42.0
16/11/2009,48,31.0,13.0,15.0,9.0,8.0,21.0
09/11/2009,124,46.0,23.0,21.0,15.0,9.0,8.0
02/11/2009,74,62.0,12.0,38.0,21.0,15.0,9.0
26/10/2009,116,38.0,38.0,18.0,38.0,21.0,15.0
19/10/2009,120,95.0,11.0,29.0,18.0,38.0,21.0
12/10/2009,101,64.0,20.0,13.0,29.0,18.0,38.0
05/10/2009,121,72.0,9.0,14.0,13.0,29.0,18.0
28/09/2009,160,93.0,13.0,26.0,14.0,13.0,29.0
21/09/2009,199,75.0,11.0,59.0,26.0,14.0,13.0
14/09/2009,147,78.0,29.0,35.0,59.0,26.0,14.0
07/09/2009,130,84.0,26.0,73.0,35.0,59.0,26.0
31/08/2009,175,70.0,11.0,26.0,73.0,35.0,59.0
24/08/2009,156,81.0,26.0,55.0,26.0,73.0,35.0
17/08/2009,185,59.0,16.0,17.0,55.0,26.0,73.0
10/08/2009,123,85.0,19.0,47.0,17.0,55.0,26.0
03/08/2009,151,59.0,37.0,15.0,47.0,17.0,55.0
27/07/2009,150,97.0,20.0,42.0,15.0,47.0,17.0
20/07/2009,169,70.0,20.0,46.0,42.0,15.0,47.0
13/07/2009,154,104.0,26.0,39.0,46.0,42.0,15.0
06/07/2009,68,42.0,41.0,61.0,39.0,46.0,42.0
29/06/2009,93,35.0,17.0,39.0,61.0,39.0,46.0
22/06/2009,74,54.0,21.0,19.0,39.0,61.0,39.0
15/06/2009,56,48.0,8.0,23.0,19.0,39.0,61.0
08/06/2009,35,24.0,15.0,4.0,23.0,19.0,39.0
01/06/2009,24,21.0,8.0,17.0,4.0,23.0,19.0
25/05/2009,11,10.0,3.0,7.0,17.0,4.0,23.0
18/05/2009,35,5.0,4.0,7.0,7.0,17.0,4.0
11/05/2009,11,1.0,2.0,0.0,7.0,7.0,17.0
04/05/2009,22,0.0,3.0,0.0,0.0,7.0,7.0
27/04/2009,8,1.0,7.0,2.0,0.0,0.0,7.0
20/04/2009,5,0.0,1.0,3.0,2.0,0.0,0.0
13/04/2009,23,0.0,1.0,4.0,3.0,2.0,0.0
06/04/2009,27,2.0,2.0,0.0,4.0,3.0,2.0
30/03/2009,33,2.0,2.0,2.0,0.0,4.0,3.0
23/03/2009,74,1.0,2.0,0.0,2.0,0.0,4.0
16/03/2009,57,2.0,1.0,8.0,0.0,2.0,0.0
09/03/2009,95,4.0,0.0,14.0,8.0,0.0,2.0
02/03/2009,73,0.0,2.0,0.0,14.0,8.0,0.0
23/02/2009,171,3.0,3.0,16.0,0.0,14.0,8.0
16/02/2009,206,3.0,9.0,3.0,16.0,0.0,14.0
09/02/2009,144,5.0,1.0,3.0,3.0,16.0,0.0
02/02/2009,155,8.0,8.0,55.0,3.0,3.0,16.0
26/01/2009,191,4.0,22.0,13.0,55.0,3.0,3.0
19/01/2009,125,17.0,5.0,39.0,13.0,55.0,3.0
12/01/2009,157,26.0,13.0,12.0,39.0,13.0,55.0
05/01/2009,121,8.0,12.0,17.0,12.0,39.0,13.0
29/12/2008,59,20.0,16.0,34.0,17.0,12.0,39.0
22/12/2008,333,38.0,17.0,9.0,34.0,17.0,12.0
15/12/2008,145,52.0,11.0,1.0,9.0,34.0,17.0
08/12/2008,208,27.0,8.0,32.0,1.0,9.0,34.0
01/12/2008,174,86.0,29.0,7.0,32.0,1.0,9.0
24/11/2008,128,57.0,13.0,38.0,7.0,32.0,1.0
17/11/2008,190,76.0,19.0,8.0,38.0,7.0,32.0
10/11/2008,228,42.0,9.0,41.0,8.0,38.0,7.0
03/11/2008,149,67.0,11.0,43.0,41.0,8.0,38.0
27/10/2008,181,41.0,18.0,43.0,43.0,41.0,8.0
20/10/2008,131,63.0,5.0,47.0,43.0,43.0,41.0
13/10/2008,227,51.0,14.0,39.0,47.0,43.0,43.0
06/10/2008,158,48.0,4.0,11.0,39.0,47.0,43.0
29/09/2008,168,38.0,6.0,53.0,11.0,39.0,47.0
22/09/2008,181,60.0,6.0,36.0,53.0,11.0,39.0
15/09/2008,138,55.0,29.0,14.0,36.0,53.0,11.0
08/09/2008,129,60.0,2.0,13.0,14.0,36.0,53.0
01/09/2008,161,50.0,7.0,33.0,13.0,14.0,36.0
25/08/2008,121,51.0,10.0,8.0,33.0,13.0,14.0
18/08/2008,128,60.0,2.0,15.0,8.0,33.0,13.0
11/08/2008,150,52.0,3.0,22.0,15.0,8.0,33.0
04/08/2008,146,50.0,2.0,7.0,22.0,15.0,8.0
28/07/2008,115,34.0,9.0,21.0,7.0,22.0,15.0
21/07/2008,120,25.0,35.0,44.0,21.0,7.0,22.0
14/07/2008,140,19.0,3.0,39.0,44.0,21.0,7.0
07/07/2008,73,23.0,44.0,34.0,39.0,44.0,21.0
30/06/2008,91,21.0,27.0,12.0,34.0,39.0,44.0
23/06/2008,71,28.0,20.0,5.0,12.0,34.0,39.0
16/06/2008,61,23.0,4.0,26.0,5.0,12.0,34.0
09/06/2008,19,14.0,12.0,0.0,26.0,5.0,12.0
02/06/2008,16,4.0,3.0,5.0,0.0,26.0,5.0
26/05/2008,11,6.0,5.0,0.0,5.0,0.0,26.0
19/05/2008,17,4.0,4.0,1.0,0.0,5.0,0.0
12/05/2008,14,3.0,3.0,1.0,1.0,0.0,5.0
05/05/2008,13,3.0,2.0,0.0,1.0,1.0,0.0
28/04/2008,22,3.0,2.0,1.0,0.0,1.0,1.0
21/04/2008,42,4.0,5.0,0.0,1.0,0.0,1.0
14/04/2008,4,1.0,1.0,0.0,0.0,1.0,0.0
07/04/2008,18,3.0,0.0,4.0,0.0,0.0,1.0
31/03/2008,6,1.0,9.0,3.0,4.0,0.0,0.0
24/03/2008,10,13.0,1.0,0.0,3.0,4.0,0.0
17/03/2008,60,12.0,10.0,4.0,0.0,3.0,4.0
10/03/2008,103,18.0,2.0,2.0,4.0,0.0,3.0
03/03/2008,31,22.0,16.0,3.0,2.0,4.0,0.0
25/02/2008,103,24.0,10.0,2.0,3.0,2.0,4.0
18/02/2008,44,22.0,3.0,3.0,2.0,3.0,2.0
11/02/2008,91,68.0,25.0,2.0,3.0,2.0,3.0
04/02/2008,83,36.0,3.0,12.0,2.0,3.0,2.0
28/01/2008,111,44.0,25.0,5.0,12.0,2.0,3.0
21/01/2008,91,31.0,32.0,12.0,5.0,12.0,2.0
14/01/2008,163,50.0,16.0,2.0,12.0,5.0,12.0
07/01/2008,28,27.0,24.0,8.0,2.0,12.0,5.0
31/12/2007,106,27.0,35.0,4.0,8.0,2.0,12.0
24/12/2007,291,73.0,58.0,1.0,4.0,8.0,2.0
17/12/2007,185,64.0,43.0,4.0,1.0,4.0,8.0
10/12/2007,197,124.0,62.0,3.0,4.0,1.0,4.0
03/12/2007,147,75.0,45.0,2.0,3.0,4.0,1.0
26/11/2007,192,38.0,38.0,2.0,2.0,3.0,4.0
19/11/2007,190,69.0,45.0,6.0,2.0,2.0,3.0
12/11/2007,147,53.0,88.0,8.0,6.0,2.0,2.0
05/11/2007,131,68.0,30.0,2.0,8.0,6.0,2.0
29/10/2007,149,44.0,76.0,1.0,2.0,8.0,6.0
22/10/2007,99,68.0,30.0,0.0,1.0,2.0,8.0
15/10/2007,233,63.0,52.0,6.0,0.0,1.0,2.0
08/10/2007,146,69.0,65.0,0.0,6.0,0.0,1.0
01/10/2007,182,86.0,41.0,2.0,0.0,6.0,0.0
24/09/2007,68,46.0,15.0,1.0,2.0,0.0,6.0
17/09/2007,180,140.0,76.0,15.0,1.0,2.0,0.0
10/09/2007,142,76.0,22.0,10.0,15.0,1.0,2.0
03/09/2007,80,48.0,27.0,13.0,10.0,15.0,1.0
27/08/2007,194,68.0,22.0,4.0,13.0,10.0,15.0
20/08/2007,286,81.0,20.0,2.0,4.0,13.0,10.0
13/08/2007,129,79.0,21.0,19.0,2.0,4.0,13.0
06/08/2007,93,102.0,2.0,2.0,19.0,2.0,4.0
30/07/2007,199,82.0,37.0,25.0,2.0,19.0,2.0
23/07/2007,120,84.0,14.0,10.0,25.0,2.0,19.0
16/07/2007,151,65.0,22.0,12.0,10.0,25.0,2.0
09/07/2007,88,68.0,14.0,6.0,12.0,10.0,25.0
02/07/2007,87,64.0,20.0,8.0,6.0,12.0,10.0
25/06/2007,67,45.0,36.0,13.0,8.0,6.0,12.0
18/06/2007,52,34.0,8.0,11.0,13.0,8.0,6.0
11/06/2007,65,16.0,36.0,1.0,11.0,13.0,8.0
04/06/2007,6,6.0,9.0,2.0,1.0,11.0,13.0
28/05/2007,64,6.0,4.0,0.0,2.0,1.0,11.0
21/05/2007,18,2.0,13.0,0.0,0.0,2.0,1.0
14/05/2007,3,1.0,1.0,1.0,0.0,0.0,2.0
07/05/2007,0,5.0,3.0,1.0,1.0,0.0,0.0
30/04/2007,13,3.0,0.0,0.0,1.0,1.0,0.0
23/04/2007,9,2.0,2.0,0.0,0.0,1.0,1.0
16/04/2007,4,1.0,1.0,1.0,0.0,0.0,1.0
09/04/2007,8,6.0,0.0,2.0,1.0,0.0,0.0
02/04/2007,12,8.0,0.0,3.0,2.0,1.0,0.0
26/03/2007,13,4.0,2.0,2.0,3.0,2.0,1.0
19/03/2007,31,6.0,11.0,1.0,2.0,3.0,2.0
12/03/2007,35,21.0,1.0,8.0,1.0,2.0,3.0
05/03/2007,8,13.0,0.0,2.0,8.0,1.0,2.0
26/02/2007,73,13.0,0.0,11.0,2.0,8.0,1.0
19/02/2007,77,21.0,0.0,4.0,11.0,2.0,8.0
12/02/2007,21,30.0,37.0,7.0,4.0,11.0,2.0
05/02/2007,104,12.0,26.0,20.0,7.0,4.0,11.0
29/01/2007,105,39.0,68.0,8.0,20.0,7.0,4.0
22/01/2007,92,19.0,30.0,19.0,8.0,20.0,7.0
15/01/2007,192,55.0,26.0,26.0,19.0,8.0,20.0
08/01/2007,2,20.0,47.0,12.0,26.0,19.0,8.0
01/01/2007,67,22.0,21.0,20.0,12.0,26.0,19.0
25/12/2006,283,47.0,13.0,27.0,20.0,12.0,26.0
18/12/2006,135,93.0,13.0,32.0,27.0,20.0,12.0
11/12/2006,129,40.0,0.0,48.0,32.0,27.0,20.0
04/12/2006,203,56.0,22.0,31.0,48.0,32.0,27.0
27/11/2006,152,36.0,28.0,54.0,31.0,48.0,32.0
20/11/2006,107,40.0,58.0,50.0,54.0,31.0,48.0
13/11/2006,185,31.0,35.0,40.0,50.0,54.0,31.0
06/11/2006,110,42.0,33.0,13.0,40.0,50.0,54.0
30/10/2006,138,47.0,76.0,54.0,13.0,40.0,50.0
23/10/2006,100,31.0,20.0,29.0,54.0,13.0,40.0
16/10/2006,228,41.0,50.0,90.0,29.0,54.0,13.0
09/10/2006,130,55.0,38.0,71.0,90.0,29.0,54.0
02/10/2006,137,38.0,23.0,38.0,71.0,90.0,29.0
25/09/2006,235,49.0,32.0,119.0,38.0,71.0,90.0
18/09/2006,138,47.0,51.0,60.0,119.0,38.0,71.0
11/09/2006,166,42.0,23.0,102.0,60.0,119.0,38.0
04/09/2006,122,86.0,44.0,131.0,102.0,60.0,119.0
28/08/2006,149,54.0,28.0,73.0,131.0,102.0,60.0
