Date,BUDAPEST,VESZPREM.L2,BUDAPEST.L1,BUDAPEST.L2,BUDAPEST.L3,PEST.L2,PEST.L1,GYOR.L2,BORSOD.L1,SOMOGY.L2,GYOR.L1,TOLNA.L2,BACS.L1,VESZPREM.L3,CSONGRAD.L1,GYOR.L3,VESZPREM.L4,SOMOGY.L3,JASZ.L2,VESZPREM.L1,CSONGRAD.L2,BACS.L2,JASZ.L1,BARANYA.L1,KOMAROM.L1,PEST.L3,FEJER.L1,JASZ.L3,SOMOGY.L1
10/03/2014,23,25.0,27.0,11.0,17.0,51.0,79.0,5.0,46.0,5.0,6.0,3.0,15.0,20.0,8.0,1.0,5.0,6.0,12.0,14.0,0.0,5.0,30.0,8.0,22.0,27.0,25.0,8.0,1.0
03/03/2014,30,14.0,23.0,27.0,11.0,79.0,77.0,6.0,60.0,1.0,8.0,5.0,26.0,25.0,18.0,5.0,20.0,5.0,30.0,50.0,8.0,15.0,20.0,9.0,43.0,51.0,25.0,12.0,17.0
24/02/2014,48,50.0,30.0,23.0,27.0,77.0,70.0,8.0,12.0,17.0,18.0,10.0,33.0,14.0,12.0,6.0,25.0,1.0,20.0,13.0,18.0,26.0,15.0,15.0,48.0,79.0,30.0,30.0,9.0
17/02/2014,37,13.0,48.0,30.0,23.0,70.0,67.0,18.0,100.0,9.0,20.0,7.0,35.0,50.0,19.0,8.0,14.0,17.0,15.0,35.0,12.0,33.0,23.0,12.0,51.0,77.0,13.0,20.0,17.0
10/02/2014,32,35.0,37.0,48.0,30.0,67.0,48.0,20.0,51.0,17.0,19.0,25.0,58.0,13.0,9.0,18.0,50.0,9.0,23.0,14.0,19.0,35.0,37.0,21.0,52.0,70.0,18.0,15.0,10.0
03/02/2014,49,14.0,32.0,37.0,48.0,48.0,31.0,19.0,45.0,10.0,27.0,16.0,36.0,35.0,24.0,20.0,13.0,17.0,37.0,22.0,9.0,58.0,25.0,9.0,17.0,67.0,15.0,23.0,5.0
27/01/2014,67,22.0,49.0,32.0,37.0,31.0,81.0,27.0,81.0,5.0,27.0,22.0,65.0,14.0,16.0,19.0,35.0,10.0,25.0,42.0,24.0,36.0,37.0,13.0,49.0,48.0,28.0,37.0,20.0
20/01/2014,106,42.0,67.0,49.0,32.0,81.0,44.0,27.0,40.0,20.0,34.0,10.0,40.0,22.0,28.0,27.0,14.0,5.0,37.0,72.0,16.0,65.0,45.0,28.0,50.0,31.0,22.0,25.0,38.0
13/01/2014,83,72.0,106.0,67.0,49.0,44.0,133.0,34.0,91.0,38.0,38.0,32.0,77.0,42.0,37.0,27.0,22.0,20.0,45.0,97.0,28.0,40.0,51.0,32.0,31.0,81.0,30.0,37.0,23.0
06/01/2014,114,97.0,83.0,106.0,67.0,133.0,85.0,38.0,75.0,23.0,25.0,35.0,44.0,72.0,9.0,34.0,42.0,38.0,51.0,80.0,37.0,77.0,49.0,24.0,37.0,44.0,17.0,45.0,51.0
30/12/2013,129,80.0,114.0,83.0,106.0,85.0,163.0,25.0,50.0,51.0,35.0,77.0,21.0,97.0,3.0,38.0,72.0,23.0,49.0,84.0,9.0,44.0,78.0,33.0,20.0,133.0,18.0,51.0,29.0
23/12/2013,189,84.0,129.0,114.0,83.0,163.0,173.0,35.0,89.0,29.0,47.0,57.0,60.0,80.0,48.0,25.0,97.0,51.0,78.0,109.0,3.0,21.0,45.0,42.0,72.0,85.0,36.0,49.0,79.0
16/12/2013,79,109.0,189.0,129.0,114.0,173.0,102.0,47.0,92.0,79.0,31.0,71.0,46.0,84.0,100.0,35.0,80.0,29.0,45.0,110.0,48.0,60.0,65.0,56.0,55.0,163.0,27.0,78.0,49.0
09/12/2013,163,110.0,79.0,189.0,129.0,102.0,114.0,31.0,50.0,49.0,28.0,53.0,29.0,109.0,26.0,47.0,84.0,79.0,65.0,111.0,100.0,46.0,30.0,8.0,39.0,173.0,27.0,45.0,61.0
02/12/2013,110,111.0,163.0,79.0,189.0,114.0,121.0,28.0,103.0,61.0,22.0,37.0,41.0,110.0,44.0,31.0,109.0,49.0,30.0,120.0,26.0,29.0,64.0,34.0,46.0,102.0,15.0,65.0,99.0
25/11/2013,158,120.0,110.0,163.0,79.0,121.0,105.0,22.0,68.0,99.0,35.0,53.0,31.0,111.0,48.0,28.0,110.0,61.0,64.0,136.0,44.0,41.0,30.0,35.0,24.0,114.0,29.0,30.0,97.0
18/11/2013,182,136.0,158.0,110.0,163.0,105.0,104.0,35.0,119.0,97.0,42.0,51.0,42.0,120.0,40.0,22.0,111.0,99.0,30.0,157.0,48.0,31.0,57.0,23.0,38.0,121.0,15.0,64.0,82.0
11/11/2013,136,157.0,182.0,158.0,110.0,104.0,119.0,42.0,108.0,82.0,59.0,48.0,70.0,136.0,121.0,35.0,120.0,97.0,57.0,155.0,40.0,42.0,47.0,25.0,28.0,105.0,22.0,30.0,145.0
04/11/2013,207,155.0,136.0,182.0,158.0,119.0,170.0,59.0,119.0,145.0,60.0,93.0,48.0,157.0,102.0,42.0,136.0,82.0,47.0,221.0,121.0,70.0,81.0,50.0,23.0,104.0,42.0,57.0,120.0
28/10/2013,251,221.0,207.0,136.0,182.0,170.0,140.0,60.0,112.0,120.0,82.0,66.0,52.0,155.0,85.0,59.0,157.0,145.0,81.0,180.0,102.0,48.0,74.0,51.0,53.0,119.0,44.0,47.0,120.0
21/10/2013,141,180.0,251.0,207.0,136.0,140.0,181.0,82.0,89.0,120.0,78.0,55.0,53.0,221.0,118.0,60.0,155.0,120.0,74.0,161.0,85.0,52.0,74.0,58.0,29.0,170.0,38.0,81.0,123.0
14/10/2013,193,161.0,141.0,251.0,207.0,181.0,149.0,78.0,61.0,123.0,33.0,66.0,59.0,180.0,85.0,82.0,221.0,120.0,74.0,221.0,118.0,53.0,102.0,62.0,34.0,140.0,42.0,74.0,101.0
07/10/2013,169,221.0,193.0,141.0,251.0,149.0,160.0,33.0,82.0,101.0,87.0,47.0,109.0,161.0,91.0,78.0,180.0,123.0,102.0,210.0,85.0,59.0,137.0,78.0,34.0,181.0,44.0,74.0,70.0
30/09/2013,141,210.0,169.0,193.0,141.0,160.0,161.0,87.0,68.0,70.0,49.0,96.0,69.0,221.0,131.0,33.0,161.0,101.0,137.0,230.0,91.0,109.0,82.0,48.0,36.0,149.0,58.0,102.0,47.0
23/09/2013,193,230.0,141.0,169.0,193.0,161.0,168.0,49.0,68.0,47.0,59.0,85.0,97.0,210.0,91.0,87.0,221.0,70.0,82.0,130.0,131.0,69.0,80.0,66.0,61.0,160.0,56.0,137.0,155.0
16/09/2013,359,130.0,193.0,141.0,169.0,168.0,153.0,59.0,62.0,155.0,52.0,73.0,55.0,230.0,152.0,49.0,210.0,47.0,80.0,192.0,91.0,97.0,104.0,30.0,45.0,161.0,64.0,82.0,43.0
09/09/2013,268,192.0,359.0,193.0,141.0,153.0,157.0,52.0,23.0,43.0,71.0,86.0,75.0,130.0,108.0,59.0,230.0,155.0,104.0,97.0,152.0,55.0,113.0,57.0,59.0,168.0,29.0,80.0,46.0
02/09/2013,168,97.0,268.0,359.0,193.0,157.0,221.0,71.0,97.0,46.0,76.0,58.0,97.0,192.0,165.0,52.0,130.0,43.0,113.0,190.0,108.0,75.0,104.0,139.0,54.0,153.0,103.0,104.0,81.0
26/08/2013,338,190.0,168.0,268.0,359.0,221.0,165.0,76.0,44.0,81.0,65.0,82.0,86.0,97.0,107.0,71.0,192.0,46.0,104.0,79.0,165.0,97.0,108.0,56.0,44.0,157.0,26.0,113.0,22.0
19/08/2013,186,79.0,338.0,168.0,268.0,165.0,121.0,65.0,44.0,22.0,68.0,58.0,59.0,190.0,82.0,76.0,97.0,81.0,108.0,133.0,107.0,86.0,89.0,68.0,30.0,221.0,57.0,104.0,42.0
12/08/2013,266,133.0,186.0,338.0,168.0,121.0,126.0,68.0,49.0,42.0,54.0,85.0,49.0,79.0,68.0,65.0,190.0,22.0,89.0,62.0,82.0,59.0,45.0,38.0,70.0,165.0,39.0,108.0,28.0
05/08/2013,240,62.0,266.0,186.0,338.0,126.0,143.0,54.0,22.0,28.0,69.0,62.0,34.0,133.0,149.0,68.0,79.0,42.0,45.0,136.0,68.0,49.0,120.0,72.0,38.0,121.0,66.0,89.0,22.0
29/07/2013,162,136.0,240.0,266.0,186.0,143.0,151.0,69.0,59.0,22.0,51.0,92.0,118.0,62.0,109.0,54.0,133.0,28.0,120.0,54.0,149.0,34.0,82.0,78.0,87.0,126.0,26.0,45.0,35.0
22/07/2013,264,54.0,162.0,240.0,266.0,151.0,105.0,51.0,15.0,35.0,85.0,58.0,55.0,136.0,118.0,69.0,62.0,22.0,82.0,58.0,109.0,118.0,34.0,60.0,25.0,143.0,30.0,120.0,14.0
15/07/2013,133,58.0,264.0,162.0,240.0,105.0,145.0,85.0,15.0,14.0,70.0,51.0,80.0,54.0,99.0,51.0,136.0,35.0,34.0,47.0,118.0,55.0,68.0,60.0,88.0,151.0,47.0,82.0,28.0
08/07/2013,201,47.0,133.0,264.0,162.0,145.0,134.0,70.0,65.0,28.0,66.0,25.0,65.0,58.0,51.0,85.0,54.0,14.0,68.0,39.0,99.0,80.0,64.0,51.0,51.0,105.0,32.0,34.0,19.0
01/07/2013,236,39.0,201.0,133.0,264.0,134.0,130.0,66.0,8.0,19.0,63.0,118.0,56.0,47.0,26.0,70.0,58.0,28.0,64.0,35.0,51.0,65.0,52.0,63.0,46.0,145.0,39.0,68.0,28.0
24/06/2013,111,35.0,236.0,201.0,133.0,130.0,89.0,63.0,50.0,28.0,118.0,84.0,25.0,39.0,27.0,66.0,47.0,19.0,52.0,34.0,26.0,56.0,23.0,70.0,41.0,134.0,22.0,64.0,19.0
17/06/2013,76,34.0,111.0,236.0,201.0,89.0,49.0,118.0,28.0,19.0,24.0,26.0,25.0,35.0,32.0,63.0,39.0,28.0,23.0,7.0,27.0,25.0,24.0,21.0,15.0,130.0,8.0,52.0,7.0
10/06/2013,52,7.0,76.0,111.0,236.0,49.0,24.0,24.0,17.0,7.0,29.0,11.0,16.0,34.0,3.0,118.0,35.0,19.0,24.0,7.0,32.0,25.0,2.0,54.0,8.0,89.0,6.0,23.0,9.0
03/06/2013,30,7.0,52.0,76.0,111.0,24.0,29.0,29.0,8.0,9.0,23.0,23.0,7.0,7.0,16.0,24.0,34.0,7.0,2.0,4.0,3.0,16.0,3.0,19.0,1.0,49.0,2.0,24.0,3.0
27/05/2013,30,4.0,30.0,52.0,76.0,29.0,15.0,23.0,4.0,3.0,12.0,9.0,3.0,7.0,11.0,29.0,7.0,9.0,3.0,4.0,16.0,7.0,8.0,5.0,7.0,24.0,0.0,2.0,4.0
20/05/2013,74,4.0,30.0,30.0,52.0,15.0,4.0,12.0,6.0,4.0,4.0,5.0,1.0,4.0,9.0,23.0,7.0,3.0,8.0,1.0,11.0,3.0,6.0,16.0,12.0,29.0,4.0,3.0,6.0
13/05/2013,45,1.0,74.0,30.0,30.0,4.0,6.0,4.0,5.0,6.0,2.0,5.0,4.0,4.0,1.0,12.0,4.0,4.0,6.0,2.0,9.0,1.0,1.0,1.0,2.0,15.0,1.0,8.0,1.0
06/05/2013,41,2.0,45.0,74.0,30.0,6.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,4.0,6.0,1.0,0.0,1.0,4.0,1.0,5.0,4.0,4.0,2.0,6.0,2.0
29/04/2013,20,0.0,41.0,45.0,74.0,4.0,17.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,6.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,6.0,2.0,1.0,2.0
22/04/2013,15,3.0,20.0,41.0,45.0,17.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,5.0,2.0,2.0,2.0,0.0,2.0,6.0,0.0,1.0,5.0,4.0,4.0,2.0,1.0,4.0
15/04/2013,11,2.0,15.0,20.0,41.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,5.0,2.0,2.0,3.0,6.0,17.0,0.0,0.0,1.0
08/04/2013,10,2.0,11.0,15.0,20.0,4.0,7.0,1.0,3.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,3.0,4.0,2.0,5.0,0.0,1.0,7.0,7.0,4.0,1.0,6.0,1.0,1.0
01/04/2013,9,5.0,10.0,11.0,15.0,7.0,12.0,3.0,12.0,1.0,7.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,7.0,1.0,3.0,0.0,10.0,3.0,8.0,4.0,2.0,2.0,6.0
25/03/2013,35,1.0,9.0,10.0,11.0,12.0,8.0,7.0,11.0,6.0,5.0,3.0,3.0,5.0,9.0,3.0,2.0,1.0,10.0,3.0,1.0,4.0,12.0,6.0,3.0,7.0,6.0,7.0,3.0
18/03/2013,20,3.0,35.0,9.0,10.0,8.0,29.0,5.0,16.0,3.0,9.0,2.0,2.0,1.0,4.0,7.0,5.0,6.0,12.0,7.0,9.0,3.0,15.0,1.0,13.0,12.0,0.0,10.0,6.0
11/03/2013,19,7.0,20.0,35.0,9.0,29.0,29.0,9.0,24.0,6.0,7.0,5.0,9.0,3.0,11.0,5.0,1.0,3.0,15.0,4.0,4.0,2.0,27.0,4.0,4.0,8.0,7.0,12.0,8.0
04/03/2013,51,4.0,19.0,20.0,35.0,29.0,23.0,7.0,16.0,8.0,8.0,2.0,10.0,7.0,19.0,9.0,3.0,6.0,27.0,10.0,11.0,9.0,17.0,3.0,5.0,29.0,25.0,15.0,4.0
25/02/2013,53,10.0,51.0,19.0,20.0,23.0,46.0,8.0,6.0,4.0,11.0,0.0,18.0,4.0,7.0,7.0,7.0,8.0,17.0,1.0,19.0,10.0,33.0,9.0,9.0,29.0,20.0,27.0,5.0
18/02/2013,77,1.0,53.0,51.0,19.0,46.0,47.0,11.0,39.0,5.0,9.0,1.0,19.0,10.0,20.0,8.0,4.0,4.0,33.0,15.0,7.0,18.0,53.0,16.0,11.0,23.0,37.0,17.0,7.0
11/02/2013,62,15.0,77.0,53.0,51.0,47.0,71.0,9.0,33.0,7.0,12.0,1.0,39.0,1.0,17.0,11.0,10.0,5.0,53.0,13.0,20.0,19.0,44.0,15.0,4.0,46.0,24.0,33.0,38.0
04/02/2013,93,13.0,62.0,77.0,53.0,71.0,94.0,12.0,39.0,38.0,13.0,4.0,14.0,15.0,18.0,9.0,1.0,7.0,44.0,10.0,17.0,39.0,41.0,24.0,7.0,47.0,50.0,53.0,15.0
28/01/2013,78,10.0,93.0,62.0,77.0,94.0,127.0,13.0,10.0,15.0,31.0,8.0,26.0,13.0,7.0,12.0,15.0,38.0,41.0,19.0,18.0,14.0,55.0,17.0,14.0,71.0,61.0,44.0,55.0
21/01/2013,82,19.0,78.0,93.0,62.0,127.0,99.0,31.0,37.0,55.0,31.0,10.0,28.0,10.0,39.0,13.0,13.0,15.0,55.0,29.0,7.0,26.0,59.0,24.0,6.0,94.0,101.0,41.0,49.0
14/01/2013,84,29.0,82.0,78.0,93.0,99.0,103.0,31.0,22.0,49.0,35.0,7.0,10.0,19.0,31.0,31.0,10.0,55.0,59.0,32.0,39.0,28.0,42.0,52.0,22.0,127.0,79.0,55.0,51.0
07/01/2013,58,32.0,84.0,82.0,78.0,103.0,125.0,35.0,31.0,51.0,41.0,11.0,44.0,29.0,11.0,31.0,19.0,49.0,42.0,43.0,31.0,10.0,59.0,53.0,11.0,99.0,40.0,59.0,87.0
31/12/2012,114,43.0,58.0,84.0,82.0,125.0,68.0,41.0,15.0,87.0,35.0,18.0,24.0,32.0,30.0,35.0,29.0,51.0,59.0,48.0,11.0,44.0,20.0,21.0,4.0,103.0,43.0,42.0,25.0
24/12/2012,145,48.0,114.0,58.0,84.0,68.0,179.0,35.0,25.0,25.0,65.0,13.0,24.0,43.0,28.0,41.0,32.0,87.0,20.0,47.0,30.0,24.0,65.0,39.0,13.0,125.0,97.0,59.0,82.0
17/12/2012,93,47.0,145.0,114.0,58.0,179.0,205.0,65.0,61.0,82.0,59.0,17.0,56.0,48.0,98.0,35.0,43.0,25.0,65.0,59.0,28.0,24.0,72.0,63.0,42.0,68.0,66.0,20.0,84.0
10/12/2012,129,59.0,93.0,145.0,114.0,205.0,118.0,59.0,160.0,84.0,56.0,17.0,46.0,47.0,21.0,65.0,48.0,82.0,72.0,29.0,98.0,56.0,36.0,38.0,10.0,179.0,26.0,65.0,37.0
03/12/2012,114,29.0,129.0,93.0,145.0,118.0,155.0,56.0,44.0,37.0,67.0,12.0,46.0,59.0,38.0,59.0,47.0,84.0,36.0,48.0,21.0,46.0,50.0,50.0,24.0,205.0,116.0,72.0,56.0
26/11/2012,86,48.0,114.0,129.0,93.0,155.0,175.0,67.0,71.0,56.0,66.0,36.0,55.0,29.0,48.0,56.0,59.0,37.0,50.0,73.0,38.0,46.0,45.0,55.0,34.0,118.0,54.0,36.0,66.0
19/11/2012,127,73.0,86.0,114.0,129.0,175.0,135.0,66.0,125.0,66.0,58.0,14.0,39.0,48.0,22.0,67.0,29.0,56.0,45.0,118.0,48.0,55.0,78.0,49.0,34.0,155.0,36.0,50.0,65.0
12/11/2012,106,118.0,127.0,86.0,114.0,135.0,86.0,58.0,52.0,65.0,74.0,37.0,73.0,73.0,26.0,66.0,48.0,66.0,78.0,64.0,22.0,39.0,126.0,58.0,28.0,175.0,36.0,45.0,60.0
05/11/2012,211,64.0,106.0,127.0,86.0,86.0,224.0,74.0,144.0,60.0,87.0,29.0,37.0,118.0,89.0,58.0,73.0,65.0,126.0,122.0,26.0,73.0,81.0,62.0,29.0,135.0,90.0,78.0,71.0
29/10/2012,229,122.0,211.0,106.0,127.0,224.0,211.0,87.0,96.0,71.0,71.0,39.0,40.0,64.0,40.0,74.0,118.0,60.0,81.0,59.0,89.0,37.0,93.0,79.0,59.0,86.0,49.0,126.0,63.0
22/10/2012,145,59.0,229.0,211.0,106.0,211.0,214.0,71.0,107.0,63.0,116.0,23.0,77.0,122.0,67.0,87.0,64.0,71.0,93.0,85.0,40.0,40.0,111.0,53.0,48.0,224.0,93.0,81.0,49.0
15/10/2012,210,85.0,145.0,229.0,211.0,214.0,136.0,116.0,110.0,49.0,63.0,36.0,22.0,59.0,25.0,71.0,122.0,63.0,111.0,92.0,67.0,77.0,56.0,65.0,25.0,211.0,31.0,93.0,22.0
08/10/2012,267,92.0,210.0,145.0,229.0,136.0,279.0,63.0,72.0,22.0,128.0,28.0,89.0,85.0,105.0,116.0,59.0,49.0,56.0,101.0,25.0,22.0,109.0,109.0,35.0,214.0,88.0,111.0,55.0
01/10/2012,166,101.0,267.0,210.0,145.0,279.0,255.0,128.0,96.0,55.0,107.0,6.0,61.0,92.0,89.0,63.0,85.0,22.0,109.0,76.0,105.0,89.0,80.0,90.0,90.0,136.0,85.0,56.0,54.0
24/09/2012,168,76.0,166.0,267.0,210.0,255.0,209.0,107.0,138.0,54.0,90.0,38.0,69.0,101.0,21.0,128.0,92.0,55.0,80.0,107.0,89.0,61.0,54.0,68.0,70.0,279.0,66.0,109.0,37.0
17/09/2012,350,107.0,168.0,166.0,267.0,209.0,160.0,90.0,114.0,37.0,92.0,21.0,59.0,76.0,77.0,107.0,101.0,54.0,54.0,76.0,21.0,69.0,58.0,89.0,74.0,255.0,57.0,80.0,31.0
10/09/2012,224,76.0,350.0,168.0,166.0,160.0,290.0,92.0,284.0,31.0,106.0,12.0,63.0,107.0,86.0,90.0,76.0,37.0,58.0,98.0,77.0,59.0,53.0,121.0,32.0,209.0,78.0,54.0,63.0
03/09/2012,136,98.0,224.0,350.0,168.0,290.0,204.0,106.0,157.0,63.0,94.0,73.0,60.0,76.0,29.0,92.0,107.0,31.0,53.0,75.0,86.0,63.0,27.0,41.0,50.0,160.0,72.0,58.0,19.0
27/08/2012,278,75.0,136.0,224.0,350.0,204.0,105.0,94.0,88.0,19.0,60.0,59.0,66.0,98.0,46.0,106.0,76.0,63.0,27.0,42.0,29.0,60.0,12.0,60.0,18.0,290.0,20.0,53.0,22.0
20/08/2012,161,42.0,278.0,136.0,224.0,105.0,257.0,60.0,23.0,22.0,110.0,10.0,91.0,75.0,70.0,94.0,98.0,19.0,12.0,90.0,46.0,66.0,83.0,137.0,46.0,204.0,59.0,27.0,30.0
13/08/2012,385,90.0,161.0,278.0,136.0,257.0,210.0,110.0,93.0,30.0,123.0,79.0,145.0,42.0,103.0,60.0,75.0,22.0,83.0,69.0,70.0,91.0,54.0,118.0,75.0,105.0,46.0,12.0,30.0
06/08/2012,230,69.0,385.0,161.0,278.0,210.0,198.0,123.0,174.0,30.0,108.0,35.0,75.0,90.0,90.0,110.0,42.0,30.0,54.0,84.0,103.0,145.0,65.0,141.0,59.0,257.0,63.0,83.0,47.0
30/07/2012,284,84.0,230.0,385.0,161.0,198.0,149.0,108.0,82.0,47.0,113.0,73.0,91.0,69.0,30.0,123.0,90.0,30.0,65.0,54.0,90.0,75.0,26.0,38.0,55.0,210.0,36.0,54.0,26.0
